CaseID,StructureID,StructureValue
115,IMMCULT2_order,order 2
115,GSSTRUST2_order,order 1
115,SNSSKEP_order,order 2
115,QBELIEF3_order,order 2
115,QBELIEF4_order,order 2
115,TWKNOW_order,order 2
115,TWAUTO_order,order 2
115,JOKE1_order,order 1
115,CHOICE1_order,order 1
115,WOMENOPPS_order,order 1
115,FAIRTRT_order,order 2
115,TALKREL_order,order 1
116,SOCTRUST2_order,order 1
116,CONGPOST_order,order 1
116,GSSTRUST3_order,order 1
116,POLCRCT_order,order 1
116,ECONFAIR2_order,order 1
116,IMMCULT2_order,order 1
116,GSSTRUST2_order,order 1
116,SNSSKEP_order,order 2
116,QBELIEF3_order,order 1
116,QBELIEF4_order,order 1
116,TWKNOW_order,order 2
116,TWAUTO_order,order 2
116,JOKE1_order,order 2
116,CHOICE1_order,order 1
116,WOMENOPPS_order,order 2
116,FAIRTRT_order,order 2
116,TALKREL_order,order 1
117,SOCTRUST2_order,order 2
117,CONGPOST_order,order 1
117,GSSTRUST3_order,order 2
117,POLCRCT_order,order 2
117,ECONFAIR2_order,order 2
117,IMMCULT2_order,order 2
117,GSSTRUST2_order,order 1
117,SNSSKEP_order,order 1
117,QBELIEF3_order,order 1
117,QBELIEF4_order,order 1
117,TWKNOW_order,order 2
117,TWAUTO_order,order 1
117,JOKE1_order,order 1
117,CHOICE1_order,order 1
117,WOMENOPPS_order,order 1
117,FAIRTRT_order,order 1
117,TALKREL_order,order 1
119,SOCTRUST2_order,order 1
119,CONGPOST_order,order 2
119,GSSTRUST3_order,order 1
119,POLCRCT_order,order 1
119,ECONFAIR2_order,order 2
119,IMMCULT2_order,order 2
119,GSSTRUST2_order,order 2
119,SNSSKEP_order,order 2
119,QBELIEF3_order,order 2
119,QBELIEF4_order,order 2
119,TWKNOW_order,order 2
119,TWAUTO_order,order 2
119,JOKE1_order,order 1
119,CHOICE1_order,order 2
119,WOMENOPPS_order,order 1
119,FAIRTRT_order,order 1
119,TALKREL_order,order 1
120,SOCTRUST2_order,order 1
120,CONGPOST_order,order 1
120,GSSTRUST3_order,order 2
120,POLCRCT_order,order 1
120,ECONFAIR2_order,order 2
120,IMMCULT2_order,order 2
120,GSSTRUST2_order,order 1
120,SNSSKEP_order,order 1
120,QBELIEF3_order,order 1
120,QBELIEF4_order,order 1
120,TWKNOW_order,order 2
120,TWAUTO_order,order 2
120,JOKE1_order,order 1
120,CHOICE1_order,order 1
120,WOMENOPPS_order,order 2
120,FAIRTRT_order,order 1
120,TALKREL_order,order 2
122,SOCTRUST2_order,order 2
122,CONGPOST_order,order 2
122,GSSTRUST3_order,order 1
122,POLCRCT_order,order 1
122,ECONFAIR2_order,order 2
122,IMMCULT2_order,order 2
122,GSSTRUST2_order,order 1
122,SNSSKEP_order,order 1
122,QBELIEF3_order,order 1
122,QBELIEF4_order,order 1
122,TWKNOW_order,order 2
122,TWAUTO_order,order 2
122,JOKE1_order,order 1
122,CHOICE1_order,order 1
122,WOMENOPPS_order,order 2
122,FAIRTRT_order,order 2
122,TALKREL_order,order 2
123,SOCTRUST2_order,order 1
123,CONGPOST_order,order 2
123,GSSTRUST3_order,order 1
123,POLCRCT_order,order 1
123,ECONFAIR2_order,order 2
123,IMMCULT2_order,order 2
123,GSSTRUST2_order,order 2
123,SNSSKEP_order,order 1
123,QBELIEF3_order,order 2
123,QBELIEF4_order,order 2
123,TWKNOW_order,order 2
123,TWAUTO_order,order 1
123,JOKE1_order,order 1
123,CHOICE1_order,order 1
123,WOMENOPPS_order,order 2
123,FAIRTRT_order,order 2
123,TALKREL_order,order 1
124,SOCTRUST2_order,order 1
124,CONGPOST_order,order 1
124,GSSTRUST3_order,order 1
124,POLCRCT_order,order 2
124,ECONFAIR2_order,order 2
124,IMMCULT2_order,order 1
124,GSSTRUST2_order,order 1
124,SNSSKEP_order,order 2
124,QBELIEF3_order,order 1
124,QBELIEF4_order,order 1
124,TWKNOW_order,order 1
124,TWAUTO_order,order 2
124,JOKE1_order,order 1
124,CHOICE1_order,order 2
124,WOMENOPPS_order,order 1
124,FAIRTRT_order,order 2
124,TALKREL_order,order 2
126,SOCTRUST2_order,order 1
126,CONGPOST_order,order 1
126,GSSTRUST3_order,order 1
126,POLCRCT_order,order 2
126,ECONFAIR2_order,order 1
126,IMMCULT2_order,order 2
126,GSSTRUST2_order,order 2
126,SNSSKEP_order,order 2
126,QBELIEF3_order,order 1
126,QBELIEF4_order,order 1
126,TWKNOW_order,order 1
126,TWAUTO_order,order 2
126,JOKE1_order,order 2
126,CHOICE1_order,order 1
126,WOMENOPPS_order,order 1
126,FAIRTRT_order,order 1
126,TALKREL_order,order 2
127,SOCTRUST2_order,order 1
127,CONGPOST_order,order 1
127,GSSTRUST3_order,order 2
127,POLCRCT_order,order 1
127,ECONFAIR2_order,order 1
127,IMMCULT2_order,order 2
127,GSSTRUST2_order,order 2
127,SNSSKEP_order,order 2
127,QBELIEF3_order,order 1
127,QBELIEF4_order,order 1
127,TWKNOW_order,order 2
127,TWAUTO_order,order 1
127,JOKE1_order,order 2
127,CHOICE1_order,order 2
127,WOMENOPPS_order,order 1
127,FAIRTRT_order,order 1
127,TALKREL_order,order 2
130,SOCTRUST2_order,order 1
130,CONGPOST_order,order 2
130,GSSTRUST3_order,order 2
130,POLCRCT_order,order 1
130,ECONFAIR2_order,order 2
130,IMMCULT2_order,order 2
130,GSSTRUST2_order,order 1
130,SNSSKEP_order,order 1
130,QBELIEF3_order,order 2
130,QBELIEF4_order,order 2
130,TWKNOW_order,order 1
130,TWAUTO_order,order 1
130,JOKE1_order,order 2
130,CHOICE1_order,order 2
130,WOMENOPPS_order,order 1
130,FAIRTRT_order,order 1
130,TALKREL_order,order 1
131,SOCTRUST2_order,order 2
131,CONGPOST_order,order 2
131,GSSTRUST3_order,order 1
131,POLCRCT_order,order 2
131,ECONFAIR2_order,order 2
131,IMMCULT2_order,order 1
131,GSSTRUST2_order,order 1
131,SNSSKEP_order,order 2
131,QBELIEF3_order,order 1
131,QBELIEF4_order,order 1
131,TWKNOW_order,order 2
131,TWAUTO_order,order 1
131,JOKE1_order,order 1
131,CHOICE1_order,order 1
131,WOMENOPPS_order,order 2
131,FAIRTRT_order,order 2
131,TALKREL_order,order 2
132,SOCTRUST2_order,order 2
132,CONGPOST_order,order 2
132,GSSTRUST3_order,order 2
132,POLCRCT_order,order 1
132,ECONFAIR2_order,order 2
132,IMMCULT2_order,order 1
132,GSSTRUST2_order,order 2
132,SNSSKEP_order,order 2
132,QBELIEF3_order,order 2
132,QBELIEF4_order,order 2
132,TWKNOW_order,order 1
132,TWAUTO_order,order 2
132,JOKE1_order,order 1
132,CHOICE1_order,order 2
132,WOMENOPPS_order,order 1
132,FAIRTRT_order,order 1
132,TALKREL_order,order 1
133,SOCTRUST2_order,order 2
133,CONGPOST_order,
133,GSSTRUST3_order,order 2
133,POLCRCT_order,order 2
133,ECONFAIR2_order,order 2
133,IMMCULT2_order,order 1
133,GSSTRUST2_order,order 2
133,SNSSKEP_order,order 2
133,QBELIEF3_order,order 1
133,QBELIEF4_order,order 1
133,TWKNOW_order,order 1
133,TWAUTO_order,order 2
133,JOKE1_order,order 1
133,CHOICE1_order,order 1
133,WOMENOPPS_order,order 1
133,FAIRTRT_order,order 2
133,TALKREL_order,order 1
